CAMPAIGN_ID,CAMPAIGN_NAME,BG,REGION,DIVISION,TYPE,CHANNEL,START_DATE,DURATION
CMP-100,SIBG_NA_PSD_Brand_CMP-100,SIBG,NA,PSD,Brand,Google Ads,2024-02-17,36
CMP-101,SIBG_LATAM_ASD_Brand_CMP-101,SIBG,LATAM,ASD,Brand,LinkedIn,2021-04-21,62
CMP-102,SIBG_EMEA_PSD_Brand_CMP-102,SIBG,EMEA,PSD,Brand,YouTube,2021-07-23,81
CMP-103,SIBG_EMEA_PSD_LeadGen_CMP-103,SIBG,EMEA,PSD,LeadGen,Google Ads,2021-03-16,78
CMP-104,TEBG_NA_EMSD_LeadGen_CMP-104,TEBG,NA,EMSD,LeadGen,LinkedIn,2024-10-01,52
CMP-105,TEBG_NA_AD_Nurture_CMP-105,TEBG,NA,AD,Nurture,LinkedIn,2022-02-14,35
CMP-106,TEBG_APAC_EMSD_Nurture_CMP-106,TEBG,APAC,EMSD,Nurture,LinkedIn,2023-09-16,44
CMP-107,TEBG_NA_EMSD_Brand_CMP-107,TEBG,NA,EMSD,Brand,YouTube,2022-07-17,70
CMP-108,TEBG_EMEA_AD_LeadGen_CMP-108,TEBG,EMEA,AD,LeadGen,LinkedIn,2021-06-30,74
CMP-109,SIBG_EMEA_ASD_Brand_CMP-109,SIBG,EMEA,ASD,Brand,Programmatic,2021-07-06,89
CMP-110,HCBG_APAC_MSD_Brand_CMP-110,HCBG,APAC,MSD,Brand,Meta (Instagram),2024-07-06,50
CMP-111,CBG_APAC_CHIM_Brand_CMP-111,CBG,APAC,CHIM,Brand,TikTok,2023-03-07,86
CMP-112,TEBG_EMEA_AD_LeadGen_CMP-112,TEBG,EMEA,AD,LeadGen,Meta (Instagram),2023-08-09,59
CMP-113,HCBG_APAC_MSD_Brand_CMP-113,HCBG,APAC,MSD,Brand,Trade Publications,2023-01-08,46
CMP-114,CBG_LATAM_HIC_Brand_CMP-114,CBG,LATAM,HIC,Brand,Meta (Facebook),2020-10-10,62
CMP-115,CBG_NA_CHIM_Brand_CMP-115,CBG,NA,CHIM,Brand,LinkedIn,2020-11-23,80
