DATE,PMI_INDEX,COMPETITOR_SOV,REGION
2020-01-06,56.66,0.231,NA
2020-01-13,56.62,0.309,NA
2020-01-20,54.13,0.135,NA
2020-01-27,54.36,0.253,NA
2020-02-03,53.57,0.107,NA
2020-02-10,54.05,0.241,NA
2020-02-17,53.28,0.383,NA
2020-02-24,51.62,0.152,NA
2020-03-02,50.81,0.172,NA
2020-03-09,50.51,0.294,NA
2020-03-16,50.17,0.324,NA
2020-03-23,50.77,0.124,NA
2020-03-30,49.4,0.396,NA
2020-04-06,49.41,0.286,NA
2020-04-13,48.86,0.275,NA
2020-04-20,47.74,0.222,NA
2020-04-27,47.41,0.377,NA
2020-05-04,47.1,0.26,NA
2020-05-11,47.63,0.146,NA
2020-05-18,47.33,0.269,NA
2020-05-25,47.42,0.23,NA
2020-06-01,46.95,0.14,NA
2020-06-08,47.06,0.191,NA
2020-06-15,47.6,0.211,NA
2020-06-22,47.91,0.224,NA
2020-06-29,47.41,0.27,NA
2020-07-06,47.27,0.272,NA
2020-07-13,48.56,0.352,NA
2020-07-20,48.93,0.207,NA
2020-07-27,49.23,0.248,NA
2020-08-03,49.26,0.126,NA
2020-08-10,50.33,0.184,NA
2020-08-17,51.59,0.286,NA
2020-08-24,52.52,0.387,NA
2020-08-31,52.81,0.314,NA
2020-09-07,53.95,0.318,NA
2020-09-14,53.65,0.316,NA
2020-09-21,54.5,0.131,NA
2020-09-28,54.23,0.357,NA
2020-10-05,54.9,0.299,NA
2020-10-12,55.46,0.211,NA
2020-10-19,56.03,0.358,NA
2020-10-26,55.87,0.27,NA
2020-11-02,56.18,0.148,NA
2020-11-09,57.53,0.256,NA
2020-11-16,56.98,0.24,NA
2020-11-23,57.85,0.149,NA
2020-11-30,57.29,0.278,NA
2020-12-07,57.29,0.272,NA
2020-12-14,56.96,0.265,NA
2020-12-21,56.78,0.346,NA
2020-12-28,56.64,0.368,NA
2021-01-04,56.0,0.296,NA
2021-01-11,55.08,0.363,NA
2021-01-18,54.85,0.295,NA
2021-01-25,54.97,0.143,NA
2021-02-01,54.21,0.213,NA
2021-02-08,53.32,0.212,NA
2021-02-15,52.9,0.358,NA
2021-02-22,52.78,0.166,NA
2021-03-01,51.92,0.315,NA
2021-03-08,51.68,0.348,NA
2021-03-15,50.75,0.122,NA
2021-03-22,49.48,0.199,NA
2021-03-29,49.53,0.344,NA
2021-04-05,49.3,0.101,NA
2021-04-12,48.87,0.365,NA
2021-04-19,47.83,0.158,NA
2021-04-26,48.43,0.21,NA
2021-05-03,47.16,0.171,NA
2021-05-10,47.5,0.133,NA
2021-05-17,47.45,0.278,NA
2021-05-24,47.41,0.349,NA
2021-05-31,46.83,0.383,NA
2021-06-07,47.12,0.399,NA
2021-06-14,48.06,0.186,NA
2021-06-21,47.27,0.124,NA
2021-06-28,47.91,0.158,NA
2021-07-05,47.66,0.251,NA
2021-07-12,47.99,0.27,NA
2021-07-19,48.84,0.17,NA
2021-07-26,49.02,0.346,NA
2021-08-02,50.18,0.158,NA
2021-08-09,50.77,0.315,NA
2021-08-16,50.67,0.175,NA
2021-08-23,51.2,0.371,NA
2021-08-30,52.41,0.152,NA
2021-09-06,52.96,0.351,NA
2021-09-13,52.99,0.381,NA
2021-09-20,52.61,0.168,NA
2021-09-27,54.68,0.136,NA
2021-10-04,56.18,0.246,NA
2021-10-11,54.43,0.122,NA
2021-10-18,55.78,0.108,NA
2021-10-25,56.2,0.213,NA
2021-11-01,56.82,0.129,NA
2021-11-08,56.69,0.275,NA
2021-11-15,57.67,0.329,NA
2021-11-22,56.8,0.293,NA
2021-11-29,56.92,0.257,NA
2021-12-06,57.57,0.355,NA
2021-12-13,56.64,0.365,NA
2021-12-20,56.51,0.225,NA
2021-12-27,57.03,0.358,NA
2022-01-03,56.55,0.299,NA
2022-01-10,55.99,0.262,NA
2022-01-17,55.41,0.317,NA
2022-01-24,55.45,0.238,NA
2022-01-31,54.58,0.111,NA
2022-02-07,53.3,0.337,NA
2022-02-14,52.21,0.128,NA
2022-02-21,52.89,0.276,NA
2022-02-28,52.09,0.346,NA
2022-03-07,50.87,0.161,NA
2022-03-14,51.42,0.201,NA
2022-03-21,49.47,0.191,NA
2022-03-28,49.64,0.223,NA
2022-04-04,48.85,0.324,NA
2022-04-11,48.83,0.186,NA
2022-04-18,48.22,0.363,NA
2022-04-25,47.77,0.332,NA
2022-05-02,47.88,0.34,NA
2022-05-09,46.93,0.108,NA
2022-05-16,48.38,0.148,NA
2022-05-23,46.68,0.337,NA
2022-05-30,46.69,0.27,NA
2022-06-06,47.21,0.147,NA
2022-06-13,47.18,0.114,NA
2022-06-20,47.01,0.312,NA
2022-06-27,47.22,0.157,NA
2022-07-04,47.56,0.273,NA
2022-07-11,48.14,0.153,NA
2022-07-18,48.55,0.353,NA
2022-07-25,49.43,0.275,NA
2022-08-01,50.38,0.314,NA
2022-08-08,50.63,0.318,NA
2022-08-15,50.89,0.192,NA
2022-08-22,51.62,0.129,NA
2022-08-29,51.78,0.327,NA
2022-09-05,53.0,0.215,NA
2022-09-12,52.71,0.139,NA
2022-09-19,54.24,0.137,NA
2022-09-26,54.61,0.344,NA
2022-10-03,54.93,0.118,NA
2022-10-10,55.38,0.364,NA
2022-10-17,55.92,0.348,NA
2022-10-24,55.56,0.36,NA
2022-10-31,56.77,0.191,NA
2022-11-07,57.17,0.225,NA
2022-11-14,56.36,0.37,NA
2022-11-21,57.39,0.332,NA
2022-11-28,56.12,0.267,NA
2022-12-05,57.47,0.129,NA
2022-12-12,56.91,0.259,NA
2022-12-19,56.05,0.152,NA
2022-12-26,56.27,0.112,NA
2023-01-02,56.9,0.153,NA
2023-01-09,55.95,0.295,NA
2023-01-16,55.84,0.372,NA
2023-01-23,54.02,0.254,NA
2023-01-30,54.41,0.321,NA
2023-02-06,53.14,0.103,NA
2023-02-13,52.95,0.2,NA
2023-02-20,52.58,0.225,NA
2023-02-27,52.75,0.312,NA
2023-03-06,50.39,0.333,NA
2023-03-13,50.31,0.301,NA
2023-03-20,49.34,0.313,NA
2023-03-27,49.2,0.286,NA
2023-04-03,49.29,0.306,NA
2023-04-10,48.2,0.188,NA
2023-04-17,48.71,0.192,NA
2023-04-24,47.78,0.104,NA
2023-05-01,47.57,0.15,NA
2023-05-08,47.65,0.253,NA
2023-05-15,47.38,0.28,NA
2023-05-22,46.72,0.332,NA
2023-05-29,47.66,0.261,NA
2023-06-05,47.07,0.106,NA
2023-06-12,47.85,0.368,NA
2023-06-19,48.18,0.399,NA
2023-06-26,48.07,0.359,NA
2023-07-03,47.85,0.219,NA
2023-07-10,48.05,0.172,NA
2023-07-17,49.05,0.222,NA
2023-07-24,48.39,0.266,NA
2023-07-31,48.81,0.204,NA
2023-08-07,50.19,0.112,NA
2023-08-14,51.23,0.166,NA
2023-08-21,51.19,0.285,NA
2023-08-28,51.91,0.382,NA
2023-09-04,51.91,0.344,NA
2023-09-11,52.98,0.11,NA
2023-09-18,53.79,0.26,NA
2023-09-25,54.22,0.168,NA
2023-10-02,54.28,0.144,NA
2023-10-09,55.63,0.15,NA
2023-10-16,56.09,0.174,NA
2023-10-23,55.8,0.153,NA
2023-10-30,56.55,0.303,NA
2023-11-06,57.07,0.183,NA
2023-11-13,56.21,0.17,NA
2023-11-20,57.13,0.3,NA
2023-11-27,56.78,0.161,NA
2023-12-04,56.53,0.317,NA
2023-12-11,56.73,0.262,NA
2023-12-18,56.97,0.195,NA
2023-12-25,56.74,0.159,NA
2024-01-01,55.54,0.329,NA
2024-01-08,55.34,0.18,NA
2024-01-15,55.58,0.375,NA
2024-01-22,54.98,0.163,NA
2024-01-29,54.68,0.316,NA
2024-02-05,53.65,0.359,NA
2024-02-12,53.41,0.35,NA
2024-02-19,52.65,0.135,NA
2024-02-26,51.66,0.383,NA
2024-03-04,50.83,0.169,NA
2024-03-11,50.44,0.335,NA
2024-03-18,50.07,0.105,NA
2024-03-25,49.69,0.136,NA
2024-04-01,49.0,0.133,NA
2024-04-08,48.84,0.38,NA
2024-04-15,47.8,0.276,NA
2024-04-22,47.49,0.283,NA
2024-04-29,47.53,0.361,NA
2024-05-06,47.13,0.259,NA
2024-05-13,46.72,0.279,NA
2024-05-20,46.81,0.321,NA
2024-05-27,47.92,0.371,NA
2024-06-03,46.45,0.125,NA
2024-06-10,46.87,0.118,NA
2024-06-17,47.06,0.184,NA
2024-06-24,47.29,0.199,NA
2024-07-01,48.86,0.301,NA
2024-07-08,47.72,0.281,NA
2024-07-15,47.89,0.262,NA
2024-07-22,48.98,0.371,NA
2024-07-29,50.39,0.392,NA
2024-08-05,49.82,0.173,NA
2024-08-12,50.46,0.387,NA
2024-08-19,50.31,0.16,NA
2024-08-26,52.08,0.344,NA
2024-09-02,52.81,0.106,NA
2024-09-09,53.25,0.198,NA
2024-09-16,53.57,0.347,NA
2024-09-23,54.76,0.26,NA
2024-09-30,54.5,0.2,NA
2024-10-07,56.01,0.2,NA
2024-10-14,56.75,0.258,NA
2024-10-21,55.33,0.16,NA
2024-10-28,56.87,0.279,NA
2024-11-04,56.96,0.177,NA
2024-11-11,56.56,0.213,NA
2024-11-18,56.72,0.301,NA
2024-11-25,57.34,0.32,NA
2024-12-02,57.37,0.191,NA
2024-12-09,56.45,0.148,NA
2024-12-16,56.45,0.239,NA
2024-12-23,55.94,0.356,NA
2024-12-30,56.08,0.113,NA
