OPPORTUNITY_ID,ACCOUNT_NAME,LEAD_SOURCE_CAMPAIGN,STAGE,AMOUNT_USD,CREATED_DATE,CLOSE_DATE,BUSINESS_GROUP,REGION
OPP-bdd640fb,Sanchez-Taylor,CMP-164,Closed Lost,269798.56,2022-05-03,2022-05-24,TEBG,NA
OPP-e465e150,"Miller, Henderson and Johnson",CMP-164,Closed Won,256473.1,2022-04-30,2022-06-01,TEBG,NA
OPP-9a1de644,Hoffman Ltd,CMP-197,Closed Won,350241.28,2021-11-12,2021-12-03,CBG,LATAM
OPP-6b65a6a4,Cole LLC,CMP-151,Closed Lost,243087.55,2022-03-10,2022-04-03,SIBG,NA
OPP-c241330b,Wolfe LLC,CMP-233,Closed Won,246380.95,2021-01-15,2021-02-19,HCBG,NA
OPP-f50bea63,Garcia-James,CMP-233,Closed Won,230888.12,2021-01-15,2021-02-26,HCBG,NA
OPP-9a8dca03,Roman-Blair,CMP-233,Closed Won,179507.47,2021-01-11,2021-02-15,HCBG,NA
OPP-ec1b8ca1,Miller-Carter,CMP-233,Closed Lost,152619.55,2021-01-25,2021-02-24,HCBG,NA
OPP-dc98d2c1,Ray-Bush,CMP-233,Closed Won,187586.76,2021-01-21,2021-02-28,HCBG,NA
OPP-c5e7ce8a,Galloway-Wyatt,CMP-233,Closed Won,200904.12,2021-01-13,2021-02-05,HCBG,NA
OPP-47294739,Reid-Diaz,CMP-233,Closed Lost,314234.64,2021-01-18,2021-02-19,HCBG,NA
OPP-ab9099a4,Miles-Sutton,CMP-233,Closed Won,165176.94,2021-01-20,2021-02-19,HCBG,NA
OPP-2bcfbe01,"Daniel, Martin and Gray",CMP-111,Closed Lost,217265.68,2023-04-15,2023-06-02,CBG,APAC
OPP-b02b61c4,"Robinson, Nguyen and Tate",CMP-141,Closed Won,302988.0,2024-02-03,2024-02-21,SIBG,LATAM
OPP-0837b8a3,Morales-Jones,CMP-141,Closed Won,433530.83,2024-01-30,2024-02-26,SIBG,LATAM
OPP-e059a0ee,"Edwards, Rios and Foster",CMP-141,Closed Won,330636.2,2024-01-27,2024-02-13,SIBG,LATAM
