INVOICE_ID,BOOKED_REVENUE,PROFIT_CENTER,POSTING_DATE,OPPORTUNITY_ID
INV-ba30d01b,128236.55,PC_TEBG_NA,2022-06-15,OPP-e465e150
INV-df7d60a9,128236.55,PC_TEBG_NA,2022-06-25,OPP-e465e150
INV-bac5bb30,175120.64,PC_CBG_LATAM,2021-12-16,OPP-9a1de644
INV-fda79fc7,175120.64,PC_CBG_LATAM,2021-12-28,OPP-9a1de644
INV-61542497,246380.95,PC_HCBG_NA,2021-03-01,OPP-c241330b
INV-cc28e761,115444.06,PC_HCBG_NA,2021-03-19,OPP-f50bea63
INV-42254e33,115444.06,PC_HCBG_NA,2021-03-31,OPP-f50bea63
INV-544921a2,179507.47,PC_HCBG_NA,2021-02-22,OPP-9a8dca03
INV-668dab9d,187586.76,PC_HCBG_NA,2021-03-13,OPP-dc98d2c1
INV-1acafc35,200904.12,PC_HCBG_NA,2021-02-17,OPP-c5e7ce8a
INV-344ea7d6,165176.94,PC_HCBG_NA,2021-03-07,OPP-ab9099a4
INV-9828d57c,302988.0,PC_SIBG_LATAM,2024-03-01,OPP-b02b61c4
INV-a229acd3,433530.83,PC_SIBG_LATAM,2024-03-03,OPP-0837b8a3
INV-c988b4a9,330636.2,PC_SIBG_LATAM,2024-02-25,OPP-e059a0ee
INV-d2d62df8,220299.05,PC_SIBG_LATAM,2024-03-01,OPP-24933b83
INV-9c76a1cc,397880.13,PC_SIBG_LATAM,2024-02-22,OPP-95a76d79
INV-1a14f336,298829.21,PC_SIBG_LATAM,2024-02-28,OPP-cac5b68c
INV-70185354,165733.74,PC_SIBG_LATAM,2024-03-11,OPP-405cacec
INV-3d22f40e,165733.74,PC_SIBG_LATAM,2024-03-29,OPP-405cacec
INV-ceecc3ad,329297.62,PC_SIBG_LATAM,2024-02-25,OPP-c0398710
INV-c9b882a1,407674.99,PC_SIBG_LATAM,2024-02-29,OPP-74273ca3
INV-d9b56d88,320938.48,PC_SIBG_LATAM,2024-03-07,OPP-c30ff46e
INV-39c7fe2f,217526.35,PC_SIBG_LATAM,2024-02-16,OPP-d777a477
INV-30515d99,363341.21,PC_SIBG_LATAM,2024-03-06,OPP-c754108f
INV-a72b2ee3,119940.12,PC_HCBG_EMEA,2024-10-14,OPP-15ed6269
INV-cce4f9dd,119940.12,PC_HCBG_EMEA,2024-10-22,OPP-15ed6269
