DATE,CAMPAIGN_ID,CHANNEL,SPEND_AMT,IMPRESSIONS,CLICKS,VIDEO_VIEWS_50
2024-02-17,CMP-100,Google Ads,222472.89,8898915,243117,1334837
2024-02-18,CMP-100,Google Ads,185482.44,7419297,159961,1112894
2024-02-19,CMP-100,Google Ads,138971.81,5558872,114406,833830
2024-02-20,CMP-100,Google Ads,213590.48,8543619,222229,1281542
2024-02-21,CMP-100,Google Ads,196978.56,7879142,159204,1181871
2024-02-22,CMP-100,Google Ads,224489.77,8979590,254341,1346938
2024-02-23,CMP-100,Google Ads,144891.93,5795677,126451,869351
2024-02-24,CMP-100,Google Ads,141851.77,5674070,130744,851110
2024-02-25,CMP-100,Google Ads,177717.57,7108702,172879,1066305
2024-02-26,CMP-100,Google Ads,153180.89,6127235,160034,919085
2024-02-27,CMP-100,Google Ads,137238.09,5489523,125827,823428
2024-02-28,CMP-100,Google Ads,161075.07,6443002,158244,966450
2024-02-29,CMP-100,Google Ads,205079.81,8203192,180443,1230478
2024-03-01,CMP-100,Google Ads,176612.02,7064480,183140,1059672
2024-03-02,CMP-100,Google Ads,127462.03,5098481,132945,764772
2024-03-03,CMP-100,Google Ads,140498.43,5619937,116054,842990
2024-03-04,CMP-100,Google Ads,222280.75,8891229,263681,1333684
2024-03-05,CMP-100,Google Ads,207519.67,8300786,191301,1245117
2024-03-06,CMP-100,Google Ads,132843.88,5313755,142633,797063
2024-03-07,CMP-100,Google Ads,168828.24,6753129,143303,1012969
2024-03-08,CMP-100,Google Ads,174609.65,6984385,142089,1047657
2024-03-09,CMP-100,Google Ads,218123.64,8724945,197077,1308741
2024-03-10,CMP-100,Google Ads,192192.6,7687704,177717,1153155
2024-03-11,CMP-100,Google Ads,177224.96,7088998,180536,1063349
2024-03-12,CMP-100,Google Ads,142004.12,5680164,168677,852024
2024-03-13,CMP-100,Google Ads,204024.57,8160982,239891,1224147
2024-03-14,CMP-100,Google Ads,216600.86,8664034,225082,1299605
2024-03-15,CMP-100,Google Ads,219442.67,8777706,183321,1316655
2024-03-16,CMP-100,Google Ads,143173.38,5726935,117128,859040
2024-03-17,CMP-100,Google Ads,156763.9,6270555,149783,940583
2024-03-18,CMP-100,Google Ads,151092.09,6043683,170959,906552
2024-03-19,CMP-100,Google Ads,160065.51,6402620,146039,960393
2024-03-20,CMP-100,Google Ads,179602.48,7184099,153806,1077614
2024-03-21,CMP-100,Google Ads,206868.2,8274728,171663,1241209
2024-03-22,CMP-100,Google Ads,226273.55,9050941,250914,1357641
2024-03-23,CMP-100,Google Ads,143460.51,5738420,115085,860763
2021-04-21,CMP-101,LinkedIn,214282.57,2857100,12475,428565
2021-04-22,CMP-101,LinkedIn,221649.74,2955329,9807,443299
2021-04-23,CMP-101,LinkedIn,174435.6,2325807,7873,348871
2021-04-24,CMP-101,LinkedIn,232153.07,3095374,12992,464306
2021-04-25,CMP-101,LinkedIn,171282.57,2283767,7540,342565
2021-04-26,CMP-101,LinkedIn,169004.73,2253396,8383,338009
2021-04-27,CMP-101,LinkedIn,216884.44,2891792,12203,433768
2021-04-28,CMP-101,LinkedIn,234910.55,3132140,12389,469821
2021-04-29,CMP-101,LinkedIn,147114.9,1961531,8515,294229
2021-04-30,CMP-101,LinkedIn,220450.5,2939339,12045,440900
2021-05-01,CMP-101,LinkedIn,221615.07,2954867,11790,443230
